train_vector_count;layers;batch_size;decay_rate;momentum;learning_decay_rate;clip_value;ACCURACY;total_time_milliseconds;epochs;time
10;[784, 128, 16, 10];32;0.0;0.8;500.0;1.0;0.1336;NULL;NULL;NULL
10;[784, 128, 16, 10];32;0.0;0.8;1000.0;5.0;0.1346;NULL;NULL;NULL
10;[784, 128, 16, 10];32;0.0;0.8;1000.0;1.0;0.1324;NULL;NULL;NULL
10;[784, 128, 16, 10];32;0.01;0.9;500.0;5.0;0.1377;NULL;NULL;NULL
10;[784, 128, 16, 10];32;0.01;0.9;500.0;1.0;0.136;NULL;NULL;NULL
10;[784, 128, 16, 10];32;0.01;0.9;1000.0;5.0;0.1376;NULL;NULL;NULL
10;[784, 128, 16, 10];32;0.01;0.9;1000.0;1.0;0.1366;NULL;NULL;NULL
10;[784, 128, 16, 10];32;0.0;0.9;500.0;5.0;0.136;NULL;NULL;NULL
10;[784, 128, 16, 10];32;0.0;0.9;500.0;1.0;0.1357;NULL;NULL;NULL
10;[784, 128, 16, 10];32;0.0;0.9;1000.0;5.0;0.1376;NULL;NULL;NULL
10;[784, 128, 16, 10];32;0.0;0.9;1000.0;1.0;0.1368;NULL;NULL;NULL
10;[784, 128, 16, 10];64;0.01;0.0;500.0;5.0;0.1371;NULL;NULL;NULL
10;[784, 128, 16, 10];64;0.01;0.0;500.0;1.0;0.1367;NULL;NULL;NULL
10;[784, 128, 16, 10];64;0.01;0.0;1000.0;5.0;0.1367;NULL;NULL;NULL
10;[784, 128, 16, 10];64;0.01;0.0;1000.0;1.0;0.1363;NULL;NULL;NULL
10;[784, 128, 16, 10];64;0.0;0.0;500.0;5.0;0.1367;NULL;NULL;NULL
10;[784, 128, 16, 10];64;0.0;0.0;500.0;1.0;0.1367;NULL;NULL;NULL
10;[784, 128, 16, 10];64;0.0;0.0;1000.0;5.0;0.1368;NULL;NULL;NULL
10;[784, 128, 16, 10];64;0.0;0.0;1000.0;1.0;0.1369;NULL;NULL;NULL
10;[784, 128, 16, 10];64;0.01;0.8;500.0;5.0;0.1364;NULL;NULL;NULL
10;[784, 128, 16, 10];64;0.01;0.8;500.0;1.0;0.1365;NULL;NULL;NULL
10;[784, 128, 16, 10];64;0.01;0.8;1000.0;5.0;0.1361;NULL;NULL;NULL
10;[784, 128, 16, 10];64;0.01;0.8;1000.0;1.0;0.1359;NULL;NULL;NULL
10;[784, 128, 16, 10];64;0.0;0.8;500.0;5.0;0.136;NULL;NULL;NULL
10;[784, 128, 16, 10];64;0.0;0.8;500.0;1.0;0.1359;NULL;NULL;NULL
10;[784, 128, 16, 10];64;0.0;0.8;1000.0;5.0;0.1359;NULL;NULL;NULL
10;[784, 128, 16, 10];64;0.0;0.8;1000.0;1.0;0.1359;NULL;NULL;NULL
10;[784, 128, 16, 10];64;0.01;0.9;500.0;5.0;0.1361;NULL;NULL;NULL
10;[784, 128, 16, 10];64;0.01;0.9;500.0;1.0;0.1358;NULL;NULL;NULL
10;[784, 128, 16, 10];64;0.01;0.9;1000.0;5.0;0.136;NULL;NULL;NULL
10;[784, 128, 16, 10];64;0.01;0.9;1000.0;1.0;0.1361;NULL;NULL;NULL
10;[784, 128, 16, 10];64;0.0;0.9;500.0;5.0;0.1361;NULL;NULL;NULL
10;[784, 128, 16, 10];64;0.0;0.9;500.0;1.0;0.1364;NULL;NULL;NULL
10;[784, 128, 16, 10];64;0.0;0.9;1000.0;5.0;0.1358;NULL;NULL;NULL
10;[784, 128, 16, 10];64;0.0;0.9;1000.0;1.0;0.1358;NULL;NULL;NULL
10;[784, 128, 16, 10];64;0.01;0.0;500.0;5.0;0.1352;NULL;NULL;NULL
10;[784, 128, 16, 10];64;0.01;0.0;500.0;1.0;0.137;NULL;NULL;NULL
10;[784, 128, 16, 10];64;0.01;0.0;1000.0;5.0;0.135;NULL;NULL;NULL
10;[784, 128, 16, 10];64;0.01;0.0;1000.0;1.0;0.1347;NULL;NULL;NULL
10;[784, 128, 16, 10];64;0.0;0.0;500.0;5.0;0.1365;NULL;NULL;NULL
10;[784, 128, 16, 10];64;0.0;0.0;500.0;1.0;0.1358;NULL;NULL;NULL
10;[784, 128, 16, 10];64;0.0;0.0;1000.0;5.0;0.1353;NULL;NULL;NULL
10;[784, 128, 16, 10];64;0.0;0.0;1000.0;1.0;0.1361;NULL;NULL;NULL
10;[784, 128, 16, 10];64;0.01;0.8;500.0;5.0;0.1359;NULL;NULL;NULL
10;[784, 128, 16, 10];64;0.01;0.8;500.0;1.0;0.1355;NULL;NULL;NULL
10;[784, 128, 16, 10];64;0.01;0.8;1000.0;5.0;0.1358;NULL;NULL;NULL
10;[784, 128, 16, 10];64;0.01;0.8;1000.0;1.0;0.1357;NULL;NULL;NULL
10;[784, 128, 16, 10];64;0.0;0.8;500.0;5.0;0.1375;NULL;NULL;NULL
10;[784, 128, 16, 10];64;0.0;0.8;500.0;1.0;0.1361;NULL;NULL;NULL
10;[784, 128, 16, 10];64;0.0;0.8;1000.0;5.0;0.1356;NULL;NULL;NULL
10;[784, 128, 16, 10];64;0.0;0.8;1000.0;1.0;0.1363;NULL;NULL;NULL
10;[784, 128, 16, 10];64;0.01;0.9;500.0;5.0;0.1358;NULL;NULL;NULL
10;[784, 128, 16, 10];64;0.01;0.9;500.0;1.0;0.1362;NULL;NULL;NULL
10;[784, 128, 16, 10];64;0.01;0.9;1000.0;5.0;0.1306;NULL;NULL;NULL
10;[784, 128, 16, 10];64;0.01;0.9;1000.0;1.0;0.1353;NULL;NULL;NULL
10;[784, 128, 16, 10];64;0.0;0.9;500.0;5.0;0.135;NULL;NULL;NULL
10;[784, 128, 16, 10];64;0.0;0.9;500.0;1.0;0.1378;NULL;NULL;NULL
10;[784, 128, 16, 10];64;0.0;0.9;1000.0;5.0;0.1381;NULL;NULL;NULL
10;[784, 128, 16, 10];64;0.0;0.9;1000.0;1.0;0.1361;NULL;NULL;NULL
10;[784, 128, 16, 10];128;0.01;0.0;500.0;5.0;0.1364;NULL;NULL;NULL
10;[784, 128, 16, 10];128;0.01;0.0;500.0;1.0;0.136;NULL;NULL;NULL
10;[784, 128, 16, 10];128;0.01;0.0;1000.0;5.0;0.136;NULL;NULL;NULL
10;[784, 128, 16, 10];128;0.01;0.0;1000.0;1.0;0.1358;NULL;NULL;NULL
